"uuid","base","orgao_julgador","data_julgamento","harm_type","award_ementa","award_any","award_brl_human","award_role_human","harm_type_human","notes"
"8c78a791-d448-426d-948f-259e4bcf036e","acordaos","1ª TURMA CÍVEL",2024-03-20,"state_liability",NA,300,NA,NA,NA,NA
"9173387e-f5dd-45d6-bfb3-e33446ccb1e2","acordaos","2ª TURMA CRIMINAL",2024-03-14,"other",500,500,NA,NA,NA,NA
"95c1fbe4-19ef-40ba-994d-c78848003afb","acordaos","5ª TURMA CÍVEL",2024-03-06,"other",NA,10000,NA,NA,NA,NA
"95f77efe-3eb0-4a3d-8508-3c1b5186aaaf","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"medical",NA,NA,NA,NA,NA,NA
"964b8d58-d515-4eb8-84e6-b80b7442b36c","acordaos","4ª TURMA CÍVEL",2024-03-07,"other",NA,NA,NA,NA,NA,NA
"a418afb8-06ee-46c9-a3d7-d29590ee8262","acordaos","1ª TURMA CÍVEL",2024-03-06,"banking_fraud",NA,5000,NA,NA,NA,NA
"a4f7b4d6-97bd-427a-859a-695519643390","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"other",NA,NA,NA,NA,NA,NA
"a72c4a80-273a-4ef1-9d82-59d43198d395","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"wrongful_death",4000,4000,NA,NA,NA,NA
"a8c8d30a-043f-4418-90a5-e06eaf92dec6","acordaos","SEGUNDA TURMA RECURSAL",2024-03-18,"credit_listing",2500,2500,NA,NA,NA,NA
"a9ca9fd8-8258-42f0-8a83-f8fb4ae68eb2","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"consumer_service",NA,NA,NA,NA,NA,NA
"b1ef8820-b20c-4baa-9c97-ca467e8dd3ed","acordaos","TERCEIRA TURMA RECURSAL",2024-03-18,"other",2000,2000,NA,NA,NA,NA
"b281899d-0b72-40c3-b69d-f10d78a5fb41","acordaos","3ª TURMA CÍVEL",2024-03-07,"air_travel",NA,5000,NA,NA,NA,NA
"bb4f8188-5596-4fea-8bf9-6a94845053aa","acordaos","SEGUNDA TURMA RECURSAL",2024-03-04,"consumer_service",2000,2000,NA,NA,NA,NA
"bb5b1017-9c46-4bf6-8db8-f9295847d155","acordaos","1ª TURMA CRIMINAL",2024-03-25,"other",NA,NA,NA,NA,NA,NA
"bfabf96e-3293-440e-adc5-c9a496eb3a8c","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-01,"air_travel",NA,NA,NA,NA,NA,NA
"cd16163a-d81a-443e-9761-04d383a74870","acordaos","1ª TURMA CRIMINAL",2024-03-21,"other",NA,NA,NA,NA,NA,NA
"cd64dc6e-84fc-410d-b841-be86b7c46780","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-26,"consumer_service",20,20,NA,NA,NA,NA
"ceff965a-524d-47dc-9f32-3b9c96f0e4ed","acordaos","SEGUNDA TURMA RECURSAL",2024-03-04,"consumer_service",NA,NA,NA,NA,NA,NA
"d3163e08-6a74-40ca-96e5-7abf0aea9dd9","acordaos","1ª TURMA CÍVEL",2024-03-21,"credit_listing",NA,NA,NA,NA,NA,NA
"d823cefb-de15-4c89-ac0a-ed4fcac4bbad","acordaos","2ª TURMA CRIMINAL",2024-03-07,"other",NA,NA,NA,NA,NA,NA
"d87c6fb9-38bb-427b-a7bd-36d5eb527c4e","acordaos","3ª TURMA CÍVEL",2024-03-06,"banking_fraud",NA,5000,NA,NA,NA,NA
"daf3d45e-9515-4646-a5fc-a51e63b23c4b","acordaos","5ª TURMA CÍVEL",2024-03-07,"consumer_service",NA,NA,NA,NA,NA,NA
"e13f2469-12e1-421c-8140-fce0f5cb1251","acordaos","2ª TURMA CÍVEL",2024-03-20,"banking_fraud",5000,5000,NA,NA,NA,NA
"e6dd4767-aeb9-4f4e-9720-0ba767620074","acordaos","PRIMEIRA TURMA RECURSAL",2024-03-01,"credit_listing",3000,3000,NA,NA,NA,NA
"f1bb0224-d0d9-48c5-bd67-b0400cef9d84","acordaos","5ª TURMA CÍVEL",2024-03-07,"medical",NA,3000,NA,NA,NA,NA
"f62a2ad7-0eb7-40f6-8e1e-6c697885e1ff","acordaos","8ª TURMA CÍVEL",2024-03-05,"consumer_service",NA,NA,NA,NA,NA,NA
"fea0eff4-30c6-41d0-90bf-ab2773481a58","acordaos","6ª TURMA CÍVEL",2024-03-26,"other",NA,NA,NA,NA,NA,NA
