"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"3a370b1d-3d4a-4271-ae61-90cb3e7192f8","acordaos","acordaos",417,"2ª TURMA CRIMINAL","fb9644293f",2024-03-25,6,0,3,NA,500,"wrongful_death"
"3b2a8934-ac5e-4bef-87f3-5691ee10d8c9","acordaos","acordaos",198,"7ª TURMA CÍVEL","75da02d29b",2024-03-13,11,0,9,NA,5000,"medical"
"3b62156a-0390-430b-8a96-37099ebd5e6b","acordaos","acordaos",417,"2ª TURMA CRIMINAL","fb9644293f",2024-03-25,2,0,1,NA,500,"other"
"3b7888bf-6268-462d-8c02-77f33d0bdf13","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","a0f8949691",2024-03-18,4,2,2,NA,NA,"other"
"3b9eae4b-36c5-4989-9227-4c4fbcf8ff7b","acordaos","acordaos",198,"7ª TURMA CÍVEL","ef17ff9efb",2024-03-13,18,1,8,3000,27500,"consumer_service"
"3bced2de-f1c1-4e40-b106-6347980474bc","acordaos","acordaos",198,"6ª TURMA CÍVEL","d30385f876",2024-03-06,13,0,4,NA,3000,"credit_listing"
"3beceada-83f0-496f-a0ca-b1386c18d111","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,6,3,2,4000,4000,"wrongful_death"
"3ca931bb-a2e1-4678-b8d1-3f0ac27a4906","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,10,5,4,NA,NA,"credit_listing"
"3ceda04d-4eda-4068-b172-5523dff98ea2","acordaos","acordaos",417,"2ª TURMA CRIMINAL","c43a20176d",2024-03-14,6,1,6,500,500,"other"
"3d313956-f2be-4ad0-a0cc-7485b0afa618","acordaos","acordaos",417,"2ª TURMA CRIMINAL","c43a20176d",2024-03-07,4,1,2,NA,NA,"wrongful_death"
"3d5a96eb-28bb-47da-abb7-859c922277ee","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-04,6,3,4,NA,NA,"consumer_service"
"3dcc7fef-2230-45ff-a582-bf828cbd92fa","acordaos","acordaos-tr",1689,"SEGUNDA TURMA RECURSAL","592078c0d0",2024-03-04,0,NA,NA,NA,NA,"other"
"3de30484-44b5-4000-aaca-1a0b175b1198","acordaos","acordaos",198,"4ª TURMA CÍVEL","dc185fdca3",2024-03-21,7,0,3,NA,NA,"consumer_service"
